Hama 00063030 - Rahmenloser Bildhalter Clip-Fix, Normalglas, 30 x 40 cm;-1;-1;16;16;18
Schleich Mur�nenversteck;4;Infinity;15;Infinity;13
Hama 00003531 - Laserpointer LP15, Rot;-1;-1;15;15;15
Avery Zweckform 3006 Markierungspunkte, � 18 mm, gr�n;-1;-1;16;16;15
KREUL 49251 - HOBBY LINE Art POTCH Lack&Leim 150 ml;6;-1;8;6;15
Rainbow - Multifunktionspapier, DIN A4, 120 g/qm, gr�n, 250 Blatt;-1;-1;16;16;15
Faber-Castell 158304 - Whiteboardmarker GRIP 1583, 4er Etui;-1;-1;12;12;15
LEGO Star Wars� Actionfigur Finn;8;14;6;10;13
Bodo Hennig 1608 - Gartenliege f�r Puppenhaus;-1;3;15;5;11
Schleich Taucher im Korallenriff;1;Infinity;8;Infinity;13
Hama 00003534 - Laserpointer LP11, Gr�n;-1;-1;15;15;15
Avery Zweckform 3338 Universal-Etiketten, 105 x 13 mm, wei�;-1;-1;16;16;15
LEGO Technic Schwerlastenhubschrauber;10;16;15;12;13
ty Beanie Boos Zebra Zig-Zag, 33cm;3;3;7;3;7
LEGO DUPLO Minnies Caf�;2;2;15;3;13
Rainbow - Multifunktionspapier, DIN A3, 80 g/qm, gelb, 500 Blatt;-1;-1;16;16;15
Hama 00063022 - Rahmenloser Bildhalter Clip-Fix, Normalglas, 24 x 30 cm;-1;-1;16;16;18
Fischertechnik 500881 - Control Set;-1;3;15;5;18
Avery Zweckform 3004 Markierungspunkte, � 18 mm, rot;-1;-1;16;16;15
ONLINE - Timeless Wood F�ller in Wood Present Box inkl. Stifthalter Kauri Holz;-1;-1;16;16;15
LEGO Super Heroes Batcycle-Verfolgungsjagd in Gotham City;-1;2;15;4;13
ty Beanie Boos Hund Slush, 33cm;3;3;7;3;7
Avery Zweckform 3335 Preis-Etiketten, 54 x 11 mm, wei�;-1;-1;16;16;15
Rainbow - Multifunktionspapier, DIN A4, 80 g/qm, gr�n, 500 Blatt;-1;-1;9;9;15
Faber-Castell 1543 - Textmarker GRIP 4-er;-1;-1;3;3;15
Hama 00003558 - Laserpointer LP10, 3in1, Rot;-1;-1;15;15;15
Eitech 00011 - Metallbaukasten Minibagger, Kran;8;8;15;8;18
LEGO Speed Champions Audi R18 e-tron quattro;7;14;16;10;13
LEGO DUPLO Mickeys Werkstatt;2;5;15;4;13
LEGO Star Wars� 75114 - First Order Stormtrooper;7;14;16;10;13
Schleich Vielseitigkeitsreiterin Pferde;3;Infinity;15;Infinity;13
Brunnen Ringbuch FACT!plus, gr�n, A4;-1;-1;15;15;11
Rainbow - Multifunktionspapier, DIN A4, 160 g/qm, lachs, 250 Blatt;-1;-1;16;16;15
Faber-Castell 153699 - Flipchartmarker Grip rund schwarz;-1;-1;5;5;15
LEGO Star Wars� Actionfigur Rey;7;14;6;9;13
Hama 00040625 - Headset f�r schnurlose Telefone, 2,5-mm-Klinke;-1;-1;5;5;18
Amigo 87054 - Spiel- & Knobelblock F�r W�rfel- & Kartenspiele;-1;-1;15;15;18
Hama Holzrahmen Oregon, Natur, 20 x 30cm;-1;-1;16;16;18
ONLINE - VISION NATURE Kugelschreiber African Maroon;-1;-1;5;5;15
LEGO DUPLO Polizeistreife;2;5;15;4;13
Avery Zweckform 3009 Markierungspunkte, � 8 mm, schwarz;-1;-1;15;15;15
Brunnen 106550724 - Ringbuch FACT!plus, A4, 2R , 15mm, rot;-1;-1;15;15;15
Clementoni 69936 - Galileo Kristalle Mini Set;12;12;8;11;11
Rainbow - Multifunktionspapier, DIN A3, 80 g/qm, hellgelb, 500 Blatt;-1;-1;9;9;15
Faber-Castell 153663 - Flipchartmarker Grip rund gr�n;-1;-1;18;18;15
LEGO Disney Princess K�nigliches Schloss der Palasttiere;5;12;4;7;13
Heunec 470675 - Poupetta Liesel mit blondem Haar XL;2;2;4;2;11
Sylvanian Families 3423 - Chihuahua Baby;3;3;15;4;13
Edwin Mieg 075500 - TIPP-KICK Cup;5;6;15;6;18
Schleich Wild Life Afrikanischer Elefantenbulle;4;Infinity;13;Infinity;13
Leitz Heisslaminierfolien A4, 25 St�ck;-1;-1;15;15;11
Maul - Schwebestift H�he 34cm, schwarz, Kunststoff Fu�, 11 x 11 x 4cm;-1;-1;15;15;15
Hasbro - Monopoly Imperium;8;8;15;8;18
Hama 00066282 - Kunststoffrahmen Sevilla, Rot, 21 x 29,7 cm;-1;-1;16;16;18
Avery Zweckform 3348 Adress-Etiketten, 67 x 38 mm, wei�;-1;-1;16;16;15
Avery Zweckform 3010 Markierungspunkte, � 8 mm, rot;-1;-1;5;5;15
Faber-Castell 150399 - Permanentmarker GRIP 1503, Keil, schwarz;-1;-1;15;15;15
ONLINE - VISION NATURE Kugelschreiber Rosewood;-1;-1;5;5;15
LEGO Super Heroes Crossbones gef�hrlicher Raub;6;12;15;9;13
Hama 00020535 - Klettbinder-Streifen, 215 mm, farbig;-1;-1;16;16;18
LEGO Disney Princess Ballerines K�nigskutsche;5;12;15;8;13
Faber-Castell 153651 - Flipchartmarker Grip Rund blau;-1;-1;18;18;15
G�tz 323008 - Sandmann Handspielpuppe,32cm;3;3;15;4;11
Brunnen 106550710 - Ringbuch FACT!plus, A4, 2R , 15mm, gelb;-1;-1;15;15;15
Sylvanian Families 3242 - Chihuahua Zwillinge;3;3;15;4;13
HABA Feuerdrachen Kinderspiel des Jahres 2014;-1;3;16;5;18
Happy People 58032 - Bayala Pl�schpferd Surah;-1;3;15;5;7
Rainbow - Multifunktionspapier, DIN A4, 80 g/qm, hellgr�n, 500 Blatt;-1;-1;9;9;15
Faber-Castell 150304 - Permanentmarker GRIP 1503, Keil, 4 St�ck;-1;-1;15;15;15
LEGO DUPLO 10805 - Einmal um die Welt;2;5;16;4;13
Brunnen 106550737 - Ringbuch FACT!plus, A4, 2R , 15mm, blau;-1;-1;15;15;15
Avery Zweckform 3011 Markierungspunkte, � 8 mm, blau;-1;-1;15;15;15
Zeichnen f�r kreative Kids Kinderwerkstatt;6;-1;15;7;7
Avery Zweckform 3350 Adress-Etiketten, 95 x 47 mm, wei�;-1;-1;16;16;15
LEGO Creator Feinkostladen;8;12;15;10;13
LEGO Super Heroes Helden der Gerechtigkeit Duell in der Luft;8;14;4;10;13
LEGO DUPLO Dschungel;2;5;15;4;13
Hama 00007107 - Fotoecken 500 St�ck;-1;-1;14;14;15
Ravensburger 02081 - Alles �ber Prinzessinnen;-1;4;15;6;13
Idena Minitimer A6, Nature,144 Seiten, sortiert FSC-Mix;-1;-1;16;16;15
Brawa 4826 - Parkleute 1 Kugel, Spur Z;-1;3;15;5;11
Faber-Castell 153621 - Flipchartmarker Grip rund rot;-1;-1;18;18;15
Eitech 00068 - Metallbaukasten Starter Set Bagger / LkW;8;3;15;6;18
ONLINE - VISION NATURE F�llhalter Rosewood;-1;Infinity;5;Infinity;15
LEGO Creator Schneller Sportflitzer;-1;12;15;12;13
STABILO Fineliner point 88 ColorParade, Box mit 20 Stiften;-1;-1;16;16;15
LEGO City 60129 - Polizei-Patrouillen-Boot;5;12;5;7;13
Theo Klein 5867 - Braun Satin Hair 7 Haartrockner;-1;Infinity;16;Infinity;11
LEGO DUPLO Arktis;2;5;15;4;13
Sylvanian Families Land Krankenschwesterset;3;Infinity;15;Infinity;13
Ravensburger 02082 - Wieso Weshalb Warum Religionen der Welt;4;4;4;4;18
ONLINE - Kugelschreiber Event Black;-1;-1;15;15;15
Hama 00049835 - CD-Index-H�llen;-1;-1;15;15;18
LEGO NEXO KNIGHTS� Der Mech des K�nigs;-1;14;14;14;13
HABA 1,2, Puzzelei Zahlen 1-10, 20 Teile;2;2;15;3;11
Bullyland 12825 - Merida;3;3;15;4;13
STABILO Fineliner point 88 Zebrui, Box mit 20 Stiften;-1;-1;16;16;15
Scrabble Jubil�umsspiel mit Holzsteinen;10;3;4;6;18
LEGO City Feuerwehrfahrzeug mit fahrbarer Leiter;5;12;4;7;13
LAMY Modell 610 - Schreiblernstylus, Stylus, abc digi red;-1;-1;16;16;15
ONLINE - Kugelschreiber Mini Wood Pen Bamboo;-1;-1;8;8;15
Faber-Castell 153504 - Flipchartmarker GRIP 1535, Keil, 4 St�ck;-1;-1;15;15;15
Happy People 55679 - Beauty Schminkschatulle;-1;2;15;4;18
LEGO Star Wars� 75136 - Droid Escape Pod;7;12;6;8;13
Bodo Hennig 7078 - Vorratstopf Glucke und Kaffeem�hle f�r Puppenhaus;-1;3;11;4;11
LEGO Juniors Verfolgung mit dem Polizeihelikopter;4;7;3;5;13
Hama Rahmenloser Bildhalter Clip-Fix, Anti-Reflex-Glas, 13 x 18cm;-1;-1;16;16;18
Noch 66400 - H0-Bahnhofs-Kiosk;8;3;15;6;11
LEGO NEXO KNIGHTS� Ultimativer Aaron;-1;14;15;14;13
LEGO Minecraft Das Dschungel-Baumhaus;-1;8;15;9;13
LAMY 540 - Creaplus Wachsmalstift, Wachsmalfarben 2 in 1, 8er Metallbox, Modell 540;-1;Infinity;15;Infinity;15
Faber-Castell 150499 - Permanentmarker GRIP 1504, Rund, schwarz;-1;-1;5;5;15
Carrera Go!!! 62334 - Transformers Lockdown Challenge, Rennspa�;6;3;15;5;11
ONLINE - Kugelschreiber Mini Wood Pen Maple;-1;-1;8;8;15
Oxford 100100905 - Office Smart Black Buch gebunden, A5, 96 Blatt, kariert;-1;-1;16;16;15
Amia Talking Baby mit 6 Funktionen;3;3;4;3;11
Tronico 10060 - Traktor Claas Axion 850 Profi-Serie;8;12;8;9;18
Hama Rahmenloser Bildhalter Clip-Fix, Normalglas, 70 x 100cm;-1;-1;18;18;18
Pelikan Tintenroller Twist� R457, silber;-1;-1;15;15;15
Rainbow - Multifunktionspapier, DIN A4, 80 g/qm, lachs, 500 Blatt;-1;-1;9;9;15
LEGO City F�hre;6;12;15;9;13
LEGO Elves Lavah�hle des Feuerdrachens;8;12;6;9;13
LEGO Star Wars� 75134 - Galactic Empire� Battle Pack;6;12;6;8;13
ONLINE - Kugelschreiber Mini Wood Pen Rosewood;-1;-1;8;8;15
Pelikan F�llhalter  Twist� P457 silber, M;-1;-1;15;15;15
M�rklin 37294 - Elektrolokomotive BR 191 der DB;-1;2;4;2;11
Simba Feuerwehrmann Sam Figuren Doppelpack, ca. 7,5cm, sortiert;-1;Infinity;16;Infinity;13
STABILO Textmarker GREENlighter, orange;-1;-1;15;15;15
Durable 235001 - Klemmbrett A4 Federklemme, schwarz;-1;-1;15;15;15
KOSMOS Spinnengift und Kr�tenschleim Mitbringspiel;5;5;11;5;18
LEGO City Allrad- Gel�ndewagen;5;7;15;6;13
Faber-Castell 150463 - Permanentmarker GRIP 1504, Rund, gr�n;-1;-1;18;18;15
Faber-Castell 155437 - Fineliner BROADPEN 1554, magenta;-1;-1;15;15;15
Pelikan Tintenroller Twist� R457, schwarz;-1;-1;15;15;15
ONLINE - Kugelschreiber Mini Wood Pen Walnut;-1;-1;8;8;15
KOSMOS Lumis Der Pfad des Feuers;10;10;14;10;18
Eitech C74 - Metallbaukasten mit Solar und Motor, 300 Teile;8;8;2;7;18
Simba Feuerwehrmann Sam RC Quad Mercury, ca. 16cm;4;Infinity;7;Infinity;11
Faber-Castell 150451 - Permanentmarker GRIP 1504, Rund, blau;-1;-1;18;18;15
Faber-Castell 155435 - Fineliner BROADPEN 1554, grau;-1;-1;15;15;15
LEGO City Rallyeauto;5;12;15;8;13
LEGO DUPLO Meine erste Zahlenraupe;1.5;5;4;3;13
KOSMOS Die drei !!! Fashion-Phantombilder;8;8;8;8;11
ONLINE - Kugelschreiber Mini Wood Pen Blackwood;-1;-1;8;8;15
Hasbro Trivial Pursuit Familien Edition;8;8;15;8;18
LEGO NEXO KNIGHTS� Moltors Lava- Werfer;8;2;15;6;13
Faber-Castell 150421 - Permanentmarker GRIP 1504, Rund, rot;-1;-1;18;18;15
Kores SF71575 - Stempelkissen, schwarz, Gr��e 2, 7 x 11cm;-1;-1;15;15;15
Faber-Castell 158399 - Whiteboardmarker GRIP 1583, schwarz;-1;-1;15;15;15
LEGO Star Wars� 75130 - AT-DP�;6;12;6;8;13
Epson Druckerpatrone 29 Cyan;-1;-1;15;15;15
Simba Feuerwehrmann Sam Sam gro�er Trainings-Turm mit Figur, ca. 42cm;3;Infinity;16;Infinity;13
KOSMOS Star Wars Paracord-B�nder cool geknotet;7;7;6;6;18
Hasbro Spiel Hilfe, Hai!;5;5;15;6;18
Carrera GO!!! 62365 - Final Lap!;3;2;15;3;11
Kores SF71570 - Stempelkissen, blau, Gr��e 2, 7 x 11cm;0;-1;15;15;15
LEGO Mixels Trumpsy;6;6;15;6;13
Epson Druckerpatrone 29 Magenta;-1;-1;15;15;15
Hasbro Spiel Dr. Bibber;4;6;15;5;18
KOSMOS Star Wars Rebels Angriff der Rebellen;7;7;12;7;18
LEGO Friends 41115 - Emmas Erfinderwerkstatt;-1;12;15;12;13
Kores SF71308 - Stempelfarbe mit Verstreicher, blau, 27ml;-1;-1;15;15;15
Epson Druckerpatrone 29XL Yellow;-1;-1;2;2;15
Simba Laura Little Star;2;2;6;2;11
Faber-Castell 1504 - Permanentmarker GRIP Rund 4er;-1;-1;18;18;15
Carrera Evolution Porsche GT3 RSR Manthey Racing, 24h N�rburgring 2011, No.18;8;8;16;8;11
KOSMOS Jugendb�cher Die drei !!! Nacht der Prinzessinnen;8;Infinity;8;Infinity;13
LEGO Friends 41120 - Abenteuercamp Bogenschie�en;6;12;12;9;13
Epson Druckerpatrone 29XL Cyan;-1;-1;15;15;15
WEDO� 583910 - Organizer Amiga ws f�r Apple iPad;-1;-1;15;15;15
Brio 33818 - Geburtstagszug;14;2;15;9;7
LEGO Creator D�senjet;6;12;15;9;13
Simba CLAAS Ares Set;3;5;15;5;11
KOSMOS Jugendb�cher Die drei ??? Stille Nacht, d�stere Nacht;10;Infinity;8;Infinity;13
Brio 33727 - Mein erstes BRIO Bahn Spiel Set;1;-1;16;3;7
M�rklin 60979 - SoundDecoder mSD3, Spur H0;15;-1;15;15;11
LEGO Mixels Camillot;6;6;15;6;13
LEGO NEXO KNIGHTS� Knighton Scheiben-Werfer;-1;14;15;14;13
KOSMOS Jugendb�cher Die drei ??? und der drei�ugige Totenkopf;10;Infinity;18;Infinity;13
LEGO Mixels Busto;6;6;15;6;13
Brio Meine erste Bahn Einsteiger Set;1.5;-1;4;1;7
M�rklin 48056 - Gro�raum-Schiebewandwagen, Spur H0;7;-1;15;8;11
Simba Safiras Funkelstein Tor;3;Infinity;15;Infinity;13
Amigo YuGiOh! Dimension of Chaos Booster;-1;6;15;7;11
LEGO Star Wars� 75126 - First Order Snowspeeder�;6;12;16;9;13
Sigro 521137 - Laserholz-Pyramide Heilige Familie natur/braun, 22 x 17.5 x 17.5 cm;-1;-1;16;16;18
Spin Master 6024302  - Brettspiel Shark Mania;-1;14;15;14;18
KreaStrick Handytasche;7;7;15;7;18
Amigo Kerflip!;10;-1;15;10;18
Epson Druckerpatrone 29XL Magenta;-1;-1;15;15;15
Carrera Digital 132 Power Speeders;-1;3;8;4;11
Spin Master Zoomer Chomplingz, sortiert;5;14;5;8;13
Epson Druckerpatrone 29 Black;0;-1;15;15;15
Schleich Adventskalender Wettrennen auf dem Bauernhof;3;Infinity;12;Infinity;13
Epson Druckerpatrone 29XL Back;-1;-1;15;15;15
Carrera RC 182018 - Red Galaxy;6;6;16;7;11
Procos Star Wars Darth Vader Masken, 6 St�ck;3;-1;6;3;13
MagNICI Winter 2015 Pinguin Jori, 12cm;3;3;8;3;7
Epson Druckerpatrone 29 Yellow;-1;-1;2;2;15
Udo Schmidt Riesen-Umschlag Just Married;-1;-1;15;15;18
Udo Schmidt Riesen-Umschlag 50, Gold;-1;-1;15;15;18
Udo Schmidt Spardose M�use f�r den Umzug;-1;-1;2;2;18
Udo Schmidt Deko T�ll auf Spule;3;-1;12;4;18
Toppoint 31298 - Page Marker, 120 Blatt;-1;3;5;3;15
Topps Star Wars Journey to Star Wars deutsch, 1 Booster;-1;-1;6;6;11
Amsinck & Sell Froschjagd Fr�sche �rgern sich;-1;-1;15;15;18
Pentel XPD305T - Druckbleistift, 0,5mm;-1;-1;15;15;15
Brunnen 3666001 - 3 Knopf-Magnete;-1;3;15;5;15
Idena Notizblock kariert, A7, 50 Blatt;-1;-1;15;15;15
Hudora Kinder Torwarthandschuhe, Gr. S;-1;-1;15;15;15
Faber-Castell Tintenroller Basic Black Perlmutt;-1;-1;16;16;15
Simba 3D-Puzzle Stegosaurus;6;6;15;6;7
Faber-Castell F�ller e-motion Edelharz Kroko elfenbein, M;-1;-1;15;15;15
Druckerpatrone Epson C13T00740210 / T007402, Twin Black Pack;-1;-1;15;15;15
Leitz Lochverst�rkungsringe transparent;-1;-1;15;15;11
Silverlit Digi Dino solo, sortiert;0.08333333333333333;3;5;1;13
MES 553 - Kalligraphieset Federhalter;-1;-1;3;3;15
Maro Toys Zeichentafel Magic Art Pad, schwarz/wei�;3;-1;15;5;18
Simba Wheeled Excavator Schaufelbagger;3;Infinity;15;Infinity;11
Die Spiegelburg Papierkorb Prinzessin Lillife;4;-1;5;4;18
Sigel Haftmarker neon 5 Farben 50 x 20 mm, 200 Blatt;-1;-1;16;16;15
Hasbro Das Spiel des Lebens;8;8;6;7;11
Kodak Tintenpatronen Combo Pack, 10B und 10C;-1;-1;11;11;15
Maped 053700 - 3 extrastarke Magnete, rot, 37mm;-1;3;15;5;15
Sigel Haftmarker Brillant 4 Farben 50 x 20 mm, 160 Blatt;-1;-1;16;16;15
Druckerpatrone Epson T2421 , schwarz;-1;-1;15;15;15
Brunnen 5588126 - Haftnotizen, pink, 100 Blatt;-1;2;15;4;15
Druckerpatrone Epson T1631, Singlepack schwarz;-1;-1;15;15;15
LAMY Tintenroller Tipo 337, orange;-1;-1;15;15;15
Zapf Creation BABY born� for babies Schmusetuch mit Bei�ring, 27 cm;-1;-1;16;16;11
Goliath Toys Triominos Challenge 50 Jahre;3;1;15;3;18
Dracco Filly Stars Glitzer Leuchtturm;4;4;6;4;13
Dickie Air Pump Car Transporter;3;Infinity;5;Infinity;11
Ravensburger Girly Girl Edition Utensilo Pferde, 54 Teile;9;7;16;8;7
Dickie Crane Truck;-1;2;15;4;11
Koh I Noor Aquarellstifte, 36 St�ck;2;-1;15;4;13
Ravensburger Girly Girl Edition Blumenvase Einh�rner, 216 Teile;-1;9;9;9;7
DYMO LetraTag Plastikband 91224, gr�n;0;-1;15;15;15
Simba Garbage Truck;3;5;15;5;11
Copic Marker YG99 Marine Green;-1;-1;15;15;13
LEGO Legends of Chima 70142 - Eris Feueradler;8;14;15;11;13
Hasbro Disney Decendants, sortiert;6;6;5;5;11
Happy People Dressurpferd mit Sound und Sattel;3;3;11;3;7
Ravensburger Der zerstreute Pharao;7;7;4;6;18
Druckerpatronen Epson T1306 Multipack, 3-farbig;-1;-1;5;5;15
Schmidt Spiele Sorgenfresser Betti, 24 cm;1;-1;4;1;7
Ravensburger 21157 - Mein magisches Wettlaufspiel Die Eisk�nigin;3;Infinity;16;Infinity;18
moses. Geolino Zoom-Memo Schmetterlinge;6;6;15;6;18
Ravensburger Riesen Bilder Rallye Walt Disney;-1;4;15;6;18
Tintenpatronen Epson C13T00840310 / T008, Twin Pack Color;-1;-1;5;5;18
error rate  0.672
ML error rate  0.536
